"filename", "language", "Python", "JSON with Comments", "PyProject TOML", "Markdown", "UV Lock", "comment", "blank", "total"
"/Users/justiy/Documents/code/Project/APIX/FILE/file_service.code-workspace", "JSON with Comments", 0, 8, 0, 0, 0, 0, 2, 10
"/Users/justiy/Documents/code/Project/APIX/FILE/file_service/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/justiy/Documents/code/Project/APIX/FILE/file_service/core/commons/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/justiy/Documents/code/Project/APIX/FILE/file_service/core/commons/decorator.py", "Python", 5, 0, 0, 0, 0, 5, 4, 14
"/Users/justiy/Documents/code/Project/APIX/FILE/file_service/core/commons/id_generator.py", "Python", 4, 0, 0, 0, 0, 0, 2, 6
"/Users/justiy/Documents/code/Project/APIX/FILE/file_service/core/commons/logger.py", "Python", 103, 0, 0, 0, 0, 42, 33, 178
"/Users/justiy/Documents/code/Project/APIX/FILE/file_service/core/commons/text_spliter.py", "Python", 209, 0, 0, 0, 0, 37, 57, 303
"/Users/justiy/Documents/code/Project/APIX/FILE/file_service/core/commons/type_def.py", "Python", 22, 0, 0, 0, 0, 1, 9, 32
"/Users/justiy/Documents/code/Project/APIX/FILE/file_service/core/commons/yuki/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 0, 1
"/Users/justiy/Documents/code/Project/APIX/FILE/file_service/core/commons/yuki/generator.py", "Python", 13, 0, 0, 0, 0, 14, 12, 39
"/Users/justiy/Documents/code/Project/APIX/FILE/file_service/core/commons/yuki/idregister.py", "Python", 84, 0, 0, 0, 0, 27, 24, 135
"/Users/justiy/Documents/code/Project/APIX/FILE/file_service/core/commons/yuki/options.py", "Python", 10, 0, 0, 0, 0, 21, 13, 44
"/Users/justiy/Documents/code/Project/APIX/FILE/file_service/core/commons/yuki/snowflake.py", "Python", 5, 0, 0, 0, 0, 8, 8, 21
"/Users/justiy/Documents/code/Project/APIX/FILE/file_service/core/commons/yuki/snowflake_m1.py", "Python", 100, 0, 0, 0, 0, 20, 28, 148
"/Users/justiy/Documents/code/Project/APIX/FILE/file_service/core/domain/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/justiy/Documents/code/Project/APIX/FILE/file_service/core/domain/data_server_manager.py", "Python", 90, 0, 0, 0, 0, 36, 30, 156
"/Users/justiy/Documents/code/Project/APIX/FILE/file_service/core/domain/document_convert.py", "Python", 138, 0, 0, 0, 0, 80, 55, 273
"/Users/justiy/Documents/code/Project/APIX/FILE/file_service/core/domain/execute_layer.py", "Python", 382, 0, 0, 0, 0, 108, 79, 569
"/Users/justiy/Documents/code/Project/APIX/FILE/file_service/core/domain/file_server.py", "Python", 458, 0, 0, 0, 0, 180, 120, 758
"/Users/justiy/Documents/code/Project/APIX/FILE/file_service/core/domain/init_server.py", "Python", 23, 0, 0, 0, 0, 0, 2, 25
"/Users/justiy/Documents/code/Project/APIX/FILE/file_service/core/domain/milvus_server.py", "Python", 218, 0, 0, 0, 0, 56, 49, 323
"/Users/justiy/Documents/code/Project/APIX/FILE/file_service/core/domain/mysql_server.py", "Python", 392, 0, 0, 0, 0, 342, 81, 815
"/Users/justiy/Documents/code/Project/APIX/FILE/file_service/core/embedding_models/__init__.py", "Python", 2, 0, 0, 0, 0, 0, 2, 4
"/Users/justiy/Documents/code/Project/APIX/FILE/file_service/core/embedding_models/embed_creator.py", "Python", 12, 0, 0, 0, 0, 39, 10, 61
"/Users/justiy/Documents/code/Project/APIX/FILE/file_service/core/embedding_models/embed_factory.py", "Python", 14, 0, 0, 0, 0, 0, 4, 18
"/Users/justiy/Documents/code/Project/APIX/FILE/file_service/global_config.py", "Python", 20, 0, 0, 0, 0, 1, 7, 28
"/Users/justiy/Documents/code/Project/APIX/FILE/file_service/main.py", "Python", 33, 0, 0, 0, 0, 2, 13, 48
"/Users/justiy/Documents/code/Project/APIX/FILE/file_service/pyproject.toml", "PyProject TOML", 0, 0, 25, 0, 0, 0, 1, 26
"/Users/justiy/Documents/code/Project/APIX/FILE/file_service/routers/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/justiy/Documents/code/Project/APIX/FILE/file_service/routers/file_record.py", "Python", 260, 0, 0, 0, 0, 126, 66, 452
"/Users/justiy/Documents/code/Project/APIX/FILE/file_service/routers/information.py", "Python", 38, 0, 0, 0, 0, 19, 11, 68
"/Users/justiy/Documents/code/Project/APIX/FILE/file_service/routers/rag_record.py", "Python", 112, 0, 0, 0, 0, 156, 29, 297
"/Users/justiy/Documents/code/Project/APIX/FILE/file_service/routers/skill_record.py", "Python", 133, 0, 0, 0, 0, 115, 36, 284
"/Users/justiy/Documents/code/Project/APIX/FILE/file_service/uv.lock", "UV Lock", 0, 0, 0, 0, 1956, 0, 81, 2037
"Total", "-", 2880, 8, 25, 0, 1956, 1436, 872, 7177
