"filename", "language", "JSON Lines", "YAML", "JSON with Comments", "Log", "JSON", "Python", "Shell Script", "PyProject TOML", "Docker", "Markdown", "UV Lock", "comment", "blank", "total"
"/Users/justiy/Documents/code/Project/APIX/AGENT/AGENT.code-workspace", "JSON with Comments", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/README/docker_files/agent_sandbox/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 6, 29
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/README/json_struct.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 246, 0, 0, 18, 264
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/LLM/__init__.py", "Python", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/LLM/llm_adapter.py", "Python", 0, 0, 0, 0, 0, 256, 0, 0, 0, 0, 0, 86, 63, 405
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/LLM/llm_creator.py", "Python", 0, 0, 0, 0, 0, 284, 0, 0, 0, 0, 0, 85, 61, 430
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/LLM/llm_factory.py", "Python", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 6, 50
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/__init__.py", "Python", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/agent.py", "Python", 0, 0, 0, 0, 0, 159, 0, 0, 0, 0, 0, 43, 58, 260
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/agent_factory/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/agent_factory/agent_creator.py", "Python", 0, 0, 0, 0, 0, 209, 0, 0, 0, 0, 0, 52, 60, 321
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/agent_factory/agent_node/__init__.py", "Python", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/agent_factory/agent_node/agent_node_base.py", "Python", 0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 7, 36, 169
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/agent_factory/agent_node/main_agent_node.py", "Python", 0, 0, 0, 0, 0, 562, 0, 0, 0, 0, 0, 95, 125, 782
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/agent_factory/agent_node/sub_agent_node.py", "Python", 0, 0, 0, 0, 0, 515, 0, 0, 0, 0, 0, 85, 117, 717
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/agent_factory/prompt.py", "Python", 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 9, 113
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/agent_team_task/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/agent_team_task/task_manager.py", "Python", 0, 0, 0, 0, 0, 151, 0, 0, 0, 0, 0, 22, 50, 223
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/context_manager/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/context_manager/context_process.py", "Python", 0, 0, 0, 0, 0, 1002, 0, 0, 0, 0, 0, 329, 230, 1561
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/context_manager/generating_cache.py", "Python", 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 28, 43, 172
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/context_manager/longterm_memory.py", "Python", 0, 0, 0, 0, 0, 227, 0, 0, 0, 0, 0, 79, 59, 365
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/generation_manager.py", "Python", 0, 0, 0, 0, 0, 225, 0, 0, 0, 0, 0, 42, 69, 336
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/sandbox_manager/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/sandbox_manager/agent_sandbox_manager.py", "Python", 0, 0, 0, 0, 0, 208, 0, 0, 0, 0, 0, 68, 74, 350
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/sandbox_manager/file_system_manager.py", "Python", 0, 0, 0, 0, 0, 562, 0, 0, 0, 0, 0, 130, 140, 832
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/sandbox_manager/workspace_git_manager.py", "Python", 0, 0, 0, 0, 0, 155, 0, 0, 0, 0, 0, 94, 53, 302
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/tools/__init__.py", "Python", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 41, 23, 132
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/tools/assistant/call_assistant.py", "Python", 0, 0, 0, 0, 0, 341, 0, 0, 0, 0, 0, 152, 46, 539
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/tools/basic_tools/agent_ocr.py", "Python", 0, 0, 0, 0, 0, 420, 0, 0, 0, 0, 0, 47, 72, 539
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/tools/basic_tools/cmd.py", "Python", 0, 0, 0, 0, 0, 151, 0, 0, 0, 0, 0, 32, 24, 207
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/tools/basic_tools/file_manager.py", "Python", 0, 0, 0, 0, 0, 793, 0, 0, 0, 0, 0, 122, 166, 1081
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/tools/basic_tools/server_check.py", "Python", 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 20, 16, 126
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/tools/basic_tools/skills.py", "Python", 0, 0, 0, 0, 0, 197, 0, 0, 0, 0, 0, 35, 41, 273
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/tools/basic_tools/task_flow.py", "Python", 0, 0, 0, 0, 0, 311, 0, 0, 0, 0, 0, 112, 39, 462
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/tools/basic_tools/todo_list.py", "Python", 0, 0, 0, 0, 0, 360, 0, 0, 0, 0, 0, 22, 40, 422
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/tools/code_runner/python_code_runner.py", "Python", 0, 0, 0, 0, 0, 194, 0, 0, 0, 0, 0, 33, 24, 251
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/tools/registry.py", "Python", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 12, 12, 92
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/tools/tool_maker.py", "Python", 0, 0, 0, 0, 0, 169, 0, 0, 0, 0, 0, 32, 48, 249
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/tools/vector_search/retrieval_tool.py", "Python", 0, 0, 0, 0, 0, 158, 0, 0, 0, 0, 0, 36, 29, 223
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/tools/web_search/__init__.py", "Python", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 2, 5
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/tools/web_search/cleaner.py", "Python", 0, 0, 0, 0, 0, 143, 0, 0, 0, 0, 0, 12, 46, 201
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/tools/web_search/manager.py", "Python", 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 24, 37, 167
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/tools/web_search/models.py", "Python", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 12, 10, 44
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/tools/web_search/providers/__init__.py", "Python", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 20, 9, 52
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/tools/web_search/providers/base.py", "Python", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 49, 12, 95
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/tools/web_search/providers/bing.py", "Python", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 25, 20, 114
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/tools/web_search/providers/bocha.py", "Python", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 25, 20, 116
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/tools/web_search/providers/crawl4ai.py", "Python", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 34, 15, 95
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/tools/web_search/providers/duckduckgo.py", "Python", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 26, 14, 96
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/tools/web_search/providers/google.py", "Python", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 40, 21, 127
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/tools/web_search/providers/jina.py", "Python", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 15, 14, 71
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/tools/web_search/providers/searxng.py", "Python", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 36, 17, 108
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/tools/web_search/providers/tavily.py", "Python", 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 48, 24, 161
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/tools/web_search/providers/unifuncs.py", "Python", 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 26, 19, 117
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/tools/web_search/router.py", "Python", 0, 0, 0, 0, 0, 191, 0, 0, 0, 0, 0, 73, 48, 312
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_agent_core/tools/web_search/search_tool.py", "Python", 0, 0, 0, 0, 0, 250, 0, 0, 0, 0, 0, 64, 47, 361
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_event_pipe/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_event_pipe/agent_stream_writer.py", "Python", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 37, 14, 100
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_event_pipe/apix_event_gateway.py", "Python", 0, 0, 0, 0, 0, 243, 0, 0, 0, 0, 0, 24, 52, 319
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_event_pipe/websocket_manager.py", "Python", 0, 0, 0, 0, 0, 393, 0, 0, 0, 0, 0, 31, 94, 518
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_platform/__init__.py", "Python", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_platform/default_platform_backup.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142, 54, 196
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_platform/platform/QQPlatform.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 143, 35, 178
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_platform/platform/__init__.py", "Python", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_platform/platform/default_platform.py", "Python", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 4, 20, 66
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_platform/platform/platform_base.py", "Python", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 6, 7, 28
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_platform/platform/websocket_platform.py", "Python", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 12, 37, 141
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/apix_platform/register.py", "Python", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 7, 8, 25
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/commons/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/justiy/Documents/code/Project/APIX/AGENT/agent_module/apix_agent/commons/auto_init.py", "Python", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 33, 32, 125
